# Every address the cartridge was seen to execute, with the banks in force.
# Written by msx2go -sweep: observation, not inference.
41D2 0,1,2,12
41D2 0,1,2,3
41D2 0,1,2,9
41D8 0,1,2,3
41DA 0,1,14,15
41DA 0,1,2,11
41DA 0,1,2,12
41DA 0,1,2,3
41DA 0,1,2,9
41DB 0,1,14,15
41DB 0,1,2,11
41DB 0,1,2,12
41DB 0,1,2,3
41DB 0,1,2,9
41DE 0,1,14,3
41DE 0,1,2,11
41DE 0,1,2,12
41DE 0,1,2,15
41DE 0,1,2,3
41DE 0,1,2,9
41E1 0,1,14,3
41E1 0,1,2,11
41E1 0,1,2,12
41E1 0,1,2,15
41E1 0,1,2,3
41E1 0,1,2,9
41E2 0,1,10,11
41E2 0,1,10,15
41E2 0,1,14,3
41E2 0,1,2,11
41E2 0,1,2,12
41E2 0,1,2,15
41E2 0,1,2,3
41E2 0,1,2,9
41E5 0,1,10,11
41E5 0,1,10,15
41E5 0,1,10,9
41E5 0,1,14,15
41E5 0,1,2,11
41E5 0,1,2,12
41E5 0,1,2,3
41E5 0,1,2,9
41E8 0,1,10,11
41E8 0,1,10,15
41E8 0,1,10,9
41E8 0,1,14,15
41E8 0,1,2,11
41E8 0,1,2,12
41E8 0,1,2,3
41E8 0,1,2,9
41E9 0,1,10,11
41E9 0,1,10,15
41E9 0,1,10,9
41E9 0,1,14,15
41E9 0,1,2,11
41E9 0,1,2,12
41E9 0,1,2,3
41E9 0,1,2,9
4200 0,1,2,3
4203 0,1,2,3
4204 0,1,2,3
4207 0,1,2,3
420A 0,1,2,3
420D 0,1,2,3
4210 0,1,2,3
4213 0,1,14,15
4216 0,1,14,15
4219 0,1,2,3
421C 0,1,2,3
421F 0,1,2,3
4222 0,1,2,3
4223 0,1,2,3
4224 0,1,2,3
4227 0,1,2,3
422A 0,1,2,12
422D 0,1,2,12
4230 0,1,2,3
4233 0,1,2,3
4234 0,1,2,3
4235 0,1,2,3
4238 0,13,14,15
423B 0,13,14,15
423E 0,1,2,3
4241 0,1,2,3
4244 0,1,2,3
4247 0,1,2,3
4248 0,1,2,3
4249 0,1,2,3
424C 0,1,2,3
424F 0,1,2,3
4252 0,1,2,3
4255 0,1,2,3
4258 0,1,2,3
425B 0,1,2,3
425C 0,1,2,3
425E 0,1,2,3
4261 0,1,2,3
4264 0,1,2,3
4267 0,1,2,3
426A 0,1,2,3
426D 0,1,2,3
4270 0,1,2,11
4273 0,1,2,11
4276 0,1,2,11
4279 0,1,2,3
427C 0,1,2,3
427F 0,1,2,3
4282 0,1,2,3
4285 0,1,2,3
4288 0,1,2,12
428B 0,1,2,12
428E 0,1,2,3
4291 0,1,2,3
4294 0,1,2,3
4297 0,1,2,3
429A 0,1,2,3
429B 0,1,2,3
429D 0,1,2,3
42A0 0,1,2,3
42A3 0,1,2,3
42A6 0,1,2,3
42A9 0,1,2,3
42AC 0,1,2,3
42AF 0,1,2,3
42B2 0,1,2,3
42B5 0,1,2,3
42B8 0,1,2,3
42BB 0,1,2,3
42BE 0,1,2,3
42C1 0,1,2,3
42C4 0,1,2,3
42C7 0,1,2,3
42CA 0,1,2,3
42CD 0,1,2,12
42D0 0,1,2,12
42D3 0,1,2,3
42D6 0,1,2,11
42D9 0,1,2,11
42DC 0,1,2,3
42DF 0,1,2,3
42E2 0,1,2,3
42E5 0,1,2,3
42E8 0,1,2,3
42E9 0,1,2,3
42EC 0,1,2,3
42EF 0,1,2,12
42F2 0,1,2,12
42F5 0,1,2,12
42F8 0,1,2,3
42FB 0,1,2,3
42FE 0,1,2,3
4301 0,1,2,12
4304 0,1,2,12
4307 0,1,2,11
430A 0,1,2,11
430D 0,1,2,3
4310 0,1,2,3
4313 0,1,2,3
4316 0,1,2,3
4319 0,1,2,11
431C 0,1,2,11
431F 0,1,2,11
4322 0,1,2,11
4325 0,1,2,11
4328 0,1,2,3
432B 0,1,2,12
432E 0,1,2,12
4331 0,1,2,3
4334 0,1,2,3
4337 0,1,2,3
433A 0,1,2,3
433D 0,1,2,11
4340 0,1,2,11
4343 0,1,2,12
4346 0,1,2,12
4349 0,1,2,3
434C 0,1,2,3
434F 0,1,2,3
4352 0,1,2,3
4355 0,1,2,3
4358 0,1,2,11
435B 0,1,2,11
435E 0,1,2,3
4361 0,1,2,3
4364 0,1,2,3
4366 0,1,2,3
4367 0,1,2,3
436A 0,1,2,3
436B 0,1,2,3
436E 0,1,2,11
4371 0,1,2,11
4374 0,7,8,9
4377 0,7,8,9
437A 0,7,8,9
437D 0,7,8,9
437E 0,7,8,9
437F 0,7,8,9
4382 0,7,8,9
4385 0,7,8,9
4386 0,7,8,9
4389 0,7,8,9
438C 0,7,8,9
438F 0,7,8,9
4392 0,7,8,9
4395 0,7,8,9
4398 0,7,8,9
439B 0,7,8,9
439E 0,7,8,9
43A1 0,7,8,9
43A4 0,7,8,9
43A5 0,7,8,9
43A7 0,7,8,9
43AA 0,7,8,9
43AB 0,7,8,9
43AC 0,7,8,9
43AD 0,7,8,9
43B0 0,7,8,9
43B1 0,7,8,9
43B4 0,7,8,9
43B7 0,7,8,9
43B9 0,7,8,9
43BB 0,7,8,9
43BE 0,7,8,9
43BF 0,7,8,9
43C0 0,7,8,9
43C3 0,7,8,9
43C6 0,7,8,9
43C8 0,7,8,9
43C9 0,7,8,9
43CA 0,7,8,9
43CB 0,7,8,9
43CE 0,7,8,9
43CF 0,7,8,9
43D2 0,7,8,9
43D5 0,7,8,9
43D7 0,7,8,9
43D8 0,7,8,9
43D9 0,7,8,9
43DA 0,7,8,9
43DB 0,7,8,9
43DE 0,7,8,9
43E1 0,7,8,9
43E4 0,7,8,9
43E7 0,7,8,9
43EA 0,7,8,9
43ED 0,7,8,9
43F0 0,7,8,9
43F3 0,7,8,9
43F6 0,7,8,9
43F9 0,7,8,9
43FC 0,7,8,9
43FF 0,7,8,9
4400 0,7,8,9
4403 0,7,8,9
4406 0,7,8,9
4407 0,7,8,9
440A 0,7,8,9
440D 0,7,8,9
440E 0,7,8,9
4410 0,7,8,9
4411 0,7,8,9
4414 0,7,8,9
4417 0,7,8,9
4419 0,7,8,9
441C 0,7,8,9
441F 0,7,8,9
4422 0,7,8,9
4424 0,7,8,9
4425 0,7,8,9
4426 0,7,8,9
4427 0,7,8,9
4428 0,7,8,9
442A 0,7,8,9
442B 0,7,8,9
442E 0,7,8,9
442F 0,7,8,9
4430 0,7,8,9
4433 0,7,8,9
4435 0,7,8,9
4436 0,7,8,9
4437 0,7,8,9
4438 0,7,8,9
443B 0,7,8,9
443C 0,7,8,9
443D 0,7,8,9
4440 0,7,8,9
4442 0,7,8,9
4443 0,7,8,9
4444 0,7,8,9
4445 0,7,8,9
4448 0,7,8,9
4449 0,7,8,9
444C 0,7,8,9
444F 0,7,8,9
4452 0,7,8,9
4455 0,7,8,9
4458 0,7,8,9
445B 0,7,8,9
445E 0,7,8,9
4461 0,7,8,9
4464 0,7,8,9
4467 0,7,8,9
446C 0,7,8,9
446F 0,7,8,9
4472 0,7,8,9
4475 0,7,8,9
4478 0,7,8,9
447D 0,7,8,9
4480 0,7,8,9
4483 0,7,8,9
4486 0,7,8,9
4489 0,7,8,9
448E 0,7,8,9
4491 0,7,8,9
4494 0,7,8,9
4497 0,7,8,9
449A 0,7,8,9
449D 0,7,8,9
449E 0,7,8,9
449F 0,7,8,9
44A0 0,7,8,9
44A1 0,7,8,9
44A2 0,7,8,9
44A3 0,7,8,9
44A4 0,7,8,9
44A5 0,7,8,9
44A6 0,7,8,9
44A7 0,7,8,9
44A8 0,7,8,9
44AA 0,7,8,9
44AB 0,7,8,9
44AC 0,7,8,9
44AD 0,7,8,9
44B0 0,7,8,9
44B1 0,7,8,9
44B4 0,7,8,9
44B5 0,7,8,9
44B7 0,7,8,9
44BB 0,7,8,9
44BE 0,7,8,9
44C1 0,7,8,9
44C5 0,7,8,9
44CB 0,7,8,9
44CE 0,7,8,9
44D1 0,7,8,9
44D3 0,7,8,9
44D6 0,7,8,9
44D9 0,7,8,9
44DC 0,7,8,9
44DF 0,7,8,9
44E0 0,7,8,9
44E3 0,7,8,9
44E6 0,7,8,9
44E9 0,7,8,9
44EC 0,7,8,9
44ED 0,7,8,9
44F0 0,7,8,9
44F3 0,1,10,9
44F3 0,7,8,9
44F6 0,1,10,9
44F6 0,7,8,9
44F7 0,1,10,9
44F7 0,7,8,9
44F9 0,1,10,9
44F9 0,7,8,9
44FC 0,1,10,9
44FC 0,7,8,9
44FD 0,1,10,9
44FD 0,7,8,9
44FE 0,1,10,9
44FE 0,7,8,9
4501 0,1,10,9
4501 0,7,8,9
4502 0,1,10,9
4502 0,7,8,9
4503 0,1,10,9
4503 0,7,8,9
4505 0,1,10,9
4505 0,7,8,9
4507 0,1,10,9
4507 0,7,8,9
450A 0,1,10,9
450A 0,7,8,9
450B 0,1,10,9
450B 0,7,8,9
450E 0,1,10,9
450E 0,7,8,9
4511 0,1,10,9
4511 0,7,8,9
4514 0,1,10,9
4514 0,7,8,9
4516 0,1,10,9
4516 0,7,8,9
4526 0,1,10,9
4526 0,7,8,9
4528 0,1,10,9
4528 0,7,8,9
4529 0,1,10,9
4529 0,7,8,9
452A 0,1,10,9
452A 0,7,8,9
452B 0,1,10,9
452B 0,7,8,9
452E 0,1,10,9
452E 0,7,8,9
4531 0,1,10,9
4531 0,7,8,9
4534 0,1,10,9
4534 0,7,8,9
4535 0,1,10,9
4535 0,7,8,9
4536 0,1,10,9
4536 0,7,8,9
4539 0,1,10,9
4539 0,7,8,9
453A 0,1,10,9
453A 0,7,8,9
453D 0,1,10,9
453D 0,7,8,9
4540 0,7,8,9
4543 0,7,8,9
4544 0,7,8,9
4546 0,7,8,9
4549 0,7,8,9
454A 0,7,8,9
454B 0,7,8,9
454C 0,7,8,9
454F 0,7,8,9
4552 0,7,8,9
4556 0,7,8,9
4559 0,7,8,9
455C 0,7,8,9
4560 0,7,8,9
4563 0,7,8,9
4566 0,7,8,9
4569 0,7,8,9
456B 0,7,8,9
456D 0,1,10,9
456D 0,7,8,9
4570 0,1,10,9
4570 0,7,8,9
4572 0,1,10,9
4572 0,7,8,9
4573 0,1,10,9
4573 0,7,8,9
4574 0,1,10,9
4574 0,7,8,9
4575 0,1,10,9
4575 0,7,8,9
4576 0,1,10,9
4576 0,7,8,9
4577 0,1,10,9
4577 0,7,8,9
457A 0,1,10,9
457A 0,7,8,9
457B 0,1,10,9
457B 0,7,8,9
457E 0,1,10,9
457E 0,7,8,9
4581 0,1,10,9
4581 0,7,8,9
4583 0,1,10,9
4583 0,7,8,9
4586 0,1,10,9
4586 0,7,8,9
4588 0,1,10,9
4588 0,7,8,9
4589 0,1,10,9
4589 0,7,8,9
458C 0,1,10,9
458C 0,7,8,9
458D 0,1,10,9
458D 0,7,8,9
4590 0,1,10,9
4590 0,7,8,9
4593 0,1,10,9
4593 0,7,8,9
4595 0,1,10,9
4595 0,7,8,9
4598 0,1,10,9
4598 0,7,8,9
459A 0,1,10,9
459A 0,7,8,9
459B 0,1,10,9
459B 0,7,8,9
459E 0,1,10,9
459E 0,7,8,9
45A1 0,1,10,9
45A1 0,7,8,9
45A4 0,1,10,9
45A4 0,7,8,9
45A5 0,1,10,9
45A5 0,7,8,9
45A7 0,1,10,9
45AA 0,1,10,9
45AD 0,1,10,9
45AD 0,7,8,9
45B0 0,1,10,9
45B0 0,7,8,9
45B3 0,1,10,9
45B3 0,7,8,9
45B6 0,1,10,9
45B6 0,7,8,9
45B9 0,1,10,9
45B9 0,7,8,9
45BA 0,1,10,9
45BA 0,7,8,9
45BC 0,1,10,9
45BF 0,1,10,9
45C2 0,1,10,9
45C2 0,7,8,9
45C3 0,1,10,9
45C3 0,7,8,9
45C6 0,1,10,9
45C6 0,7,8,9
45C7 0,1,10,9
45C7 0,7,8,9
45C8 0,1,10,9
45C8 0,7,8,9
45CA 0,1,10,9
45CA 0,7,8,9
45CB 0,1,10,9
45CB 0,7,8,9
45CC 0,1,10,9
45CC 0,7,8,9
45CD 0,1,10,9
45CD 0,7,8,9
45CE 0,1,10,9
45CE 0,7,8,9
45CF 0,1,10,9
45CF 0,7,8,9
45D0 0,1,10,9
45D0 0,7,8,9
45D1 0,1,10,9
45D1 0,7,8,9
45D3 0,1,10,9
45D3 0,7,8,9
45D4 0,1,10,9
45D4 0,7,8,9
45D5 0,1,10,9
45D5 0,7,8,9
45D6 0,1,10,9
45D6 0,7,8,9
45D7 0,1,10,9
45D7 0,7,8,9
45D9 0,1,10,9
45D9 0,7,8,9
45DC 0,1,10,9
45DC 0,7,8,9
45DD 0,1,10,9
45DD 0,7,8,9
45DF 0,1,10,9
45DF 0,7,8,9
45E0 0,1,10,9
45E0 0,7,8,9
45E3 0,1,10,9
45E3 0,7,8,9
45E6 0,1,10,9
45E6 0,7,8,9
45E7 0,1,10,9
45E7 0,7,8,9
45E9 0,1,10,9
45EC 0,1,10,9
45EC 0,7,8,9
45F0 0,1,10,9
45F0 0,7,8,9
45F2 0,1,10,9
45F2 0,7,8,9
45F4 0,1,10,9
45F4 0,7,8,9
45F5 0,1,10,9
45F5 0,7,8,9
45F7 0,1,10,9
45F7 0,7,8,9
45F8 0,1,10,9
45F8 0,7,8,9
45F9 0,1,10,9
45F9 0,7,8,9
45FA 0,1,10,9
45FA 0,7,8,9
45FB 0,1,10,9
45FB 0,7,8,9
45FC 0,1,10,9
45FC 0,7,8,9
45FE 0,1,10,9
45FE 0,7,8,9
45FF 0,1,10,9
45FF 0,7,8,9
4602 0,1,10,9
4602 0,7,8,9
4603 0,1,10,9
4603 0,7,8,9
4605 0,7,8,9
4609 0,7,8,9
460C 0,7,8,9
460F 0,7,8,9
4613 0,7,8,9
4616 0,7,8,9
4619 0,7,8,9
461D 0,7,8,9
4620 0,7,8,9
4621 0,7,8,9
4623 0,1,10,9
4624 0,1,10,9
4626 0,1,10,9
4629 0,1,10,9
462C 0,1,10,9
462D 0,1,10,9
462E 0,1,10,9
4630 0,1,10,9
4633 0,1,10,9
4636 0,1,10,9
4637 0,1,10,9
4639 0,1,10,9
463C 0,1,10,9
463D 0,1,10,9
463D 0,7,8,9
463F 0,1,10,9
463F 0,7,8,9
4642 0,1,10,9
4642 0,7,8,9
4644 0,1,10,9
4644 0,7,8,9
4645 0,1,10,9
4645 0,7,8,9
4646 0,1,10,9
4646 0,7,8,9
4647 0,1,10,9
4647 0,7,8,9
4648 0,1,10,9
4648 0,7,8,9
4649 0,1,10,9
4649 0,7,8,9
464C 0,1,10,9
464C 0,7,8,9
464D 0,1,10,9
464D 0,7,8,9
4650 0,1,10,9
4650 0,7,8,9
4653 0,1,10,9
4653 0,7,8,9
4654 0,1,10,9
4654 0,7,8,9
4656 0,1,10,9
4659 0,1,10,9
4659 0,7,8,9
465D 0,1,10,9
465D 0,7,8,9
4660 0,1,10,9
4660 0,7,8,9
4661 0,1,10,9
4661 0,7,8,9
4664 0,1,10,9
4664 0,7,8,9
4665 0,1,10,9
4665 0,7,8,9
4668 0,1,10,9
4668 0,7,8,9
466B 0,1,10,9
466B 0,7,8,9
466C 0,1,10,9
466C 0,7,8,9
466E 0,1,10,9
4671 0,1,10,9
4671 0,7,8,9
4675 0,1,10,9
4675 0,7,8,9
4678 0,1,10,9
4678 0,7,8,9
467A 0,1,10,9
467A 0,7,8,9
467B 0,1,10,9
467B 0,7,8,9
467F 0,1,10,9
467F 0,7,8,9
4682 0,1,10,9
4682 0,7,8,9
4684 0,1,10,9
4684 0,7,8,9
4685 0,1,10,9
4685 0,7,8,9
4686 0,1,10,9
4686 0,7,8,9
4687 0,1,10,9
4687 0,7,8,9
468A 0,1,10,9
468A 0,7,8,9
468B 0,1,10,9
468B 0,7,8,9
468D 0,7,8,9
468E 0,7,8,9
4691 0,7,8,9
4695 0,7,8,9
46A1 0,7,8,9
46A2 0,7,8,9
46A5 0,7,8,9
46A7 0,7,8,9
46AA 0,7,8,9
46AC 0,7,8,9
46AD 0,7,8,9
46B0 0,7,8,9
46B4 0,7,8,9
46C2 0,1,10,9
46C3 0,1,10,9
46C6 0,1,10,9
46C8 0,1,10,9
46CA 0,1,10,9
46CC 0,1,10,9
46CE 0,1,10,9
46D0 0,1,10,9
46D2 0,1,10,9
46D3 0,1,10,9
46D4 0,1,10,9
46D7 0,1,10,9
46D9 0,1,10,9
46DC 0,1,10,9
46DE 0,1,10,9
46DF 0,1,10,9
46E0 0,1,10,9
46E3 0,1,10,9
46E5 0,1,10,9
46E7 0,1,10,9
46E9 0,1,10,9
46EB 0,1,10,9
46ED 0,1,10,9
46EF 0,1,10,9
46EF 0,7,8,9
46F0 0,1,10,9
46F0 0,7,8,9
46F3 0,1,10,9
46F3 0,7,8,9
46F6 0,1,10,9
46F6 0,7,8,9
46F7 0,1,10,9
46F7 0,7,8,9
46F9 0,1,10,9
46FC 0,1,10,9
46FC 0,7,8,9
4700 0,1,10,9
4700 0,7,8,9
4702 0,1,10,9
4702 0,7,8,9
4705 0,1,10,9
4705 0,7,8,9
4707 0,1,10,9
4707 0,7,8,9
4708 0,1,10,9
470B 0,1,10,9
470C 0,1,10,9
470E 0,1,10,9
470F 0,1,10,9
4711 0,1,10,9
4712 0,1,10,9
4715 0,1,10,9
4717 0,1,10,9
471A 0,1,10,9
471C 0,1,10,9
471F 0,1,10,9
4721 0,1,10,9
4724 0,1,10,9
4727 0,1,10,9
4729 0,1,10,9
472C 0,1,10,9
472F 0,1,10,9
4730 0,1,10,9
4731 0,1,10,9
4732 0,1,10,9
4735 0,1,10,9
4738 0,1,10,9
4739 0,1,10,9
